1940,200000.0
1941,207414.52952502022
1942,215103.9352904274
1943,223078.407686222
1944,231348.51488714197
1945,239925.21685814342
1946,248819.87987910135
1947,258044.29160797925
1948,267610.6767024307
1949,277531.7130205348
1950,287820.54842213576
1951,298490.8181930529
1952,309556.6631152521
1953,321032.7482069259
1954,332934.28215731913
1955,345277.03748205345
1956,358077.3714256644
1957,371352.24763905053
1958,385119.25866056234
1959,399396.64923052554
1960,414203.340470095
1961,429558.9549564825
1962,445483.8427277909
1963,461999.10825191427
1964,479126.63839524833
1965,496889.1314282747
1966,515310.12710645766
1967,534414.0378663214
1968,554226.181178047
1969,574772.8130974662
1970,596081.1630619166
1971,618179.4699760716
1972,641097.0196355663
1973,664864.183538018
1974,689512.4591328736
1975,715074.5115634234
1976,741584.2169563057
1977,769076.7073158632
1978,797588.4170828573
1979,827157.1314192321
1980,857822.0362829269
1981,889623.7703590904
1982,922604.478916527
1983,956807.8696607394
1984,992279.2706575956
1985,1029065.690404377
1986,1067215.88012782
1987,1106780.3983917108
1988,1147811.6780996555
1989,1190364.09598182
1990,1234494.044657726
1991,1280260.007370608
1992,1327722.6354923677
1993,1376944.828901847
1994,1427991.81934293
1995,1480931.2568729578
1996,1535833.2995160068
1997,1592770.70623986
1998,1651818.9333798746
1999,1713056.2346375366
2000,1776563.7647862362
2001,1842425.6872216791
2002,1910729.2854994838
2003,1981565.0790077671
2004,2055026.9429280278
2005,2131212.232643287
2006,2210221.9127583764
2007,2292160.690903345
2008,2377137.156497313
2009,2465263.924656673
2010,2556657.7854383434
2011,2651439.858615871
2012,2749735.754193485
2013,2851675.7388708415
2014,2957394.9086790495
2015,3067033.368016777
2016,3180736.4153236896
2017,3298654.7356373114
2018,3420944.6002884647
