1904,53159.576475509064
1905,55161.62364020629
1906,57239.07006718919
1907,59394.755374251734
1908,61631.62612226623
1909,63952.73984277544
1910,66361.26921726801
1911,68860.50641385007
1912,71453.8675872405
1913,74144.89754824089
1914,76937.27460906284
1915,79834.81561113552
1916,82841.48114226585
1917,85961.3809502826
1918,89198.77956056422
1919,92558.10210512875
1920,96043.94037125378
1921,99661.05907789369
1922,103414.40238847373
1923,107309.10066896297
1924,111350.47750046357
1925,115544.05695590169
1926,119895.57115076647
1927,124410.96807821817
1928,129096.41973927466
1929,133958.33057918987
1930,139003.346241555
1931,144238.3626520891
1932,149670.53544453462
1933,155307.28974154248
1934,161156.33030391636
1935,167225.65206208738
1936,173523.55104421696
1937,180058.63571586256
1938,186839.83874670815
1939,193876.4292204428
1940,201178.02530447545
1941,208754.6073968059
1942,216616.53176802062
1943,224774.54471706113
1944,233239.79726011376
1945,242023.86037269887
1946,251138.74080579396
1947,260596.89749760865
1948,270411.25860344525
1949,280595.23916692194
1950,291162.7594567137
1951,302128.26399387437
1952,313506.7412957487
1953,325313.7443634609
1954,337565.41194098507
1955,350278.49057485367
1956,363470.35750466055
1957,377159.04441564344
1958,391363.2620858149
1959,406102.425961331
1960,421396.6826950566
1961,437266.9376846
1962,453734.8836474614
1963,470823.0302723528
1964,488554.7349872161
1965,506954.2348860009
1966,526046.6798578369
1967,545858.1669638896
1968,566415.7761088827
1969,587747.6070560502
1970,609882.8178361106
1971,632851.6646027672
1972,656685.5429892065
1973,681417.0310221276
1974,707079.9336519624
1975,733709.328960151
1976,761341.6161066319
1977,790014.5650830882
1978,819767.3683399534
1979,850640.6943577485
1980,882676.7432359712
1981,915919.3043755227
1982,950413.816333519
1983,986207.4289322988
1984,1023349.0677075229
1985,1061889.500783458
1986,1101881.4082668577
1987,1143379.4542542924
1988,1186440.3615513528
1989,1231122.9892058559
1990,1277488.412961041
1991,1325600.008738718
1992,1375523.5392664801
1993,1427327.243967391
1994,1481081.9322350172
1995,1536861.080221297
1996,1594740.9312695484
1997,1654800.6001298854
1998,1717122.1810995082
1999,1781790.8602356703
2000,1848895.0317947066
2001,1918526.4190562805
2002,1990780.1996980032
2003,2065755.1358918035
2004,2143553.7092998577
2005,2224282.2611546144
2006,2308051.13761439
2007,2394974.840593211
2008,2485172.184271069
2009,2578766.457498519
2010,2675885.592317619
2011,2776662.338829543
2012,2881234.446647903
2013,2989744.8531857915
2014,3102341.879033923
2015,3219179.4306969396
2016,3340417.2109649545
2017,3466220.9372079447
