id,submit_time,men,women,1_14,15_24,25_49,50_64,65+,education,farm,income,message1946,message1964,message1981,message2012,trans1946,trans1964,trans1981,trans2012,insurance,experience,1904,1946,1964,1981,2012,levee,report,maner,location_code
493,2018-03-21 10:29:00,2,1,0,1,2,0,0,junior high school,True,"20,000~50,000",null,null,null,fixed telephone; mobile phone; network,null,null,null,bycycle; motor,False,null,do not know,do not know,do not know,do not know,heard of somewhere,7,7,7,B 
494,2018-03-21 10:32:00,2,2,0,1,1,0,2,vocational college,True,"5,000~10,000",null,null,null,mobile phone; fixed telephone,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,heard of somewhere,do not know,8,8,8,B 
495,2018-03-21 10:34:00,2,3,1,0,2,1,1,senior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,know from written records,know from written records; heard of somewhere,5,5,10,B 
496,2018-03-21 11:07:00,3,2,1,0,2,1,1,vocational college,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,motor,False,null,do not know,do not know,do not know,know from written records,know from written records; heard of somewhere,8,8,8,A 
497,2018-03-21 11:10:00,1,1,0,0,2,0,0,senior high school,True,"10,000~20,000",null,null,null,mobile phone,null,null,bycycle,motor,False,null,do not know,do not know,do not know,heard of somewhere,heard of somewhere,8,8,8,A 
498,2018-03-21 11:11:00,2,1,0,1,2,0,0,senior high school,True,"＞50,000",null,null,null,mobile phone; network,null,null,null,car,False,null,do not know,do not know,do not know,know from written records,heard of somewhere,8,8,8,A 
499,2018-03-21 11:13:00,2,1,0,0,1,2,0,college or higher,True,"＞50,000",null,null,null,mobile phone; network,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,do not know,know from written records,8,8,8,A 
500,2018-03-21 11:15:00,4,3,1,1,1,2,2,college or higher,True,"＞50,000",null,null,null,fixed telephone; mobile phone,null,null,null,car,True,null,do not know,do not know,do not know,do not know,heard of somewhere,7,9,9,A 
501,2018-03-21 11:17:00,3,2,0,1,2,1,1,senior high school,True,"＞50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor; car,True,null,do not know,do not know,do not know,do not know,heard of somewhere,7,7,7,A 
502,2018-03-21 11:20:00,2,1,0,0,1,0,2,vocational college,True,"＞50,000",null,null,null,mobile phone; network,null,null,bycycle,bycycle; motor,True,null,know from written records,know from written records,know from written records,know from written records,know from written records; heard of somewhere,10,6,10,A 
503,2018-03-21 11:21:00,1,2,1,0,2,0,0,college or higher,True,"＞50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,do not know,know from written records; heard of somewhere,7,7,10,A 
504,2018-03-22 10:07:00,2,2,1,1,2,0,0,senior high school,True,"20,000~50,000",null,null,null,null,null,null,null,null,False,flooding,do not know,do not know,heard of somewhere,experienced,experienced,6,6,9,C 
505,2018-03-22 10:08:00,1,1,0,0,0,0,2,null,True,"＜5,000",null,null,null,mobile phone,null,null,null,motor,False,null,do not know,do not know,heard of somewhere,heard of somewhere,do not know,8,8,5,D 
506,2018-03-22 10:10:00,3,1,0,1,1,1,1,senior high school,True,"＜5,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,flooding,do not know,heard of somewhere,experienced,heard of somewhere,heard from intimates,9,8,8,C 
507,2018-03-22 10:10:00,1,2,1,0,2,0,0,senior high school,True,"20,000~50,000",null,null,null,fixed telephone,null,null,null,null,True,null,do not know,do not know,do not know,do not know,heard of somewhere; heard from intimates,8,10,10,D 
508,2018-03-22 10:11:00,2,1,1,0,2,0,0,senior high school,True,"20,000~50,000",null,null,null,null,null,null,null,null,False,null,do not know,do not know,heard of somewhere,heard of somewhere,heard from intimates,5,5,5,D 
509,2018-03-22 10:11:00,2,3,1,2,2,0,0,college or higher,True,"5,000~10,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,heard of somewhere,heard of somewhere,heard of somewhere,heard of somewhere,9,9,9,C 
510,2018-03-22 10:14:00,2,2,1,1,1,1,0,elementary school,False,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,do not know,heard of somewhere,heard from intimates,6,6,6,C 
511,2018-03-22 10:15:00,1,1,0,0,0,0,2,junior high school,True,"5,000~10,000",null,null,null,mobile phone,null,null,null,null,False,flooding,do not know,heard of somewhere,heard of somewhere,experienced,know from written records,10,7,7,D 
512,2018-03-22 10:16:00,2,2,0,1,1,1,1,senior high school,True,"10,000~20,000",null,null,null,mobile phone,null,null,null,motor,False,null,do not know,do not know,do not know,do not know,do not know,5,5,5,C 
513,2018-03-22 10:17:00,3,2,0,1,0,2,0,senior high school,True,"5,000~10,000",null,null,null,mobile phone,null,null,null,null,False,null,do not know,do not know,do not know,do not know,do not know,10,10,10,C 
514,2018-03-22 10:17:00,2,2,1,1,0,2,0,junior high school,True,"20,000~50,000",null,null,null,mobile phone; network,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,do not know,heard from intimates,heard from intimates,7,8,6,D 
515,2018-03-22 10:18:00,3,4,2,1,2,0,2,college or higher,True,"＞50,000",null,null,null,mobile phone; network,null,null,null,bycycle; car,True,null,do not know,do not know,do not know,heard of somewhere,heard of somewhere,10,9,9,C 
516,2018-03-22 10:19:00,2,3,1,0,2,0,2,college or higher,True,"＞50,000",null,null,null,mobile phone; network,null,null,null,motor; car,True,null,do not know,do not know,do not know,heard from intimates,heard from intimates,10,8,8,D 
517,2018-03-22 10:19:00,2,1,0,0,1,2,0,senior high school,True,"＜5,000",null,null,null,mobile phone,null,null,null,motor,False,null,do not know,do not know,do not know,do not know,know from written records,8,8,8,C 
518,2018-03-22 10:21:00,3,3,0,2,1,1,2,null,True,"20,000~50,000",null,null,null,null; mobile phone,null,null,null,null,False,flooding,do not know,do not know,heard of somewhere,heard of somewhere,experienced,3,8,7,D 
519,2018-03-22 10:35:00,2,2,0,2,2,0,0,senior high school,True,"＞50,000",null,null,null,mobile phone; network,null,null,null,bycycle; car,True,flooding,do not know,do not know,do not know,heard from intimates; experienced,heard from intimates,8,8,8,C 
520,2018-03-22 10:36:00,2,1,0,1,2,0,0,vocational college,True,"5,000~10,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,do not know,do not know,6,6,8,D 
521,2018-03-22 10:36:00,2,2,1,1,2,0,0,vocational college,True,"＜5,000",null,null,null,mobile phone,null,null,null,bycycle; motor,False,null,heard of somewhere,heard of somewhere,heard of somewhere,know from written records,heard from intimates,8,8,8,C 
522,2018-03-22 10:38:00,3,2,1,0,2,1,1,college or higher,True,"10,000~20,000",null,null,null,fixed telephone,null,null,null,bycycle; motor,True,flooding,do not know,do not know,do not know,do not know,experienced,10,7,8,D 
523,2018-03-22 10:40:00,1,1,0,0,0,0,2,elementary school,True,"＞50,000",null,null,null,fixed telephone; mobile phone,null,null,null,bycycle; motor,True,null,do not know,do not know,do not know,heard of somewhere; heard from intimates,do not know,10,8,8,D 
524,2018-03-22 10:40:00,2,2,0,0,1,2,1,senior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,motor; bycycle,False,null,do not know,do not know,do not know,heard of somewhere,heard from intimates; heard of somewhere,6,6,6,C 
525,2018-03-22 10:41:00,1,2,1,0,2,0,0,senior high school,False,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,heard of somewhere,heard of somewhere,do not know,7,7,7,C 
526,2018-03-22 10:42:00,2,2,0,1,2,0,1,vocational college,True,"5,000~10,000",null,null,null,fixed telephone; mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,heard from intimates,heard from intimates,8,7,8,D 
527,2018-03-22 10:43:00,2,3,1,2,2,0,0,college or higher,True,"5,000~10,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,know from written records,know from written records,heard of somewhere,heard of somewhere; heard from intimates,5,5,5,C 
528,2018-03-22 10:43:00,2,3,0,3,2,0,0,college or higher,True,"20,000~50,000",null,null,null,fixed telephone; mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,heard of somewhere,heard of somewhere,7,8,8,D 
529,2018-03-22 10:45:00,2,1,0,0,1,2,0,junior high school,True,"10,000~20,000",null,null,null,fixed telephone; mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,do not know,do not know,7,8,8,D 
530,2018-03-22 10:45:00,3,3,0,1,3,0,2,college or higher,True,"＞50,000",null,null,null,fixed telephone; mobile phone,null,null,bycycle,car,True,null,do not know,heard of somewhere,heard of somewhere,know from written records; heard of somewhere,know from written records; heard of somewhere,10,10,10,C 
531,2018-03-22 10:47:00,1,2,0,0,0,2,1,junior high school,True,"10,000~20,000",null,null,null,mobile phone,null,null,bycycle,motor,False,null,do not know,do not know,do not know,heard of somewhere,do not know,8,6,8,D 
532,2018-03-22 11:04:00,3,1,1,0,2,0,1,senior high school,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,null,do not know,do not know,know from written records,heard of somewhere,heard of somewhere,8,8,8,C 
533,2018-03-22 11:06:00,2,3,1,0,2,0,2,vocational college,True,"20,000~50,000",null,null,null,mobile phone; network,null,null,bycycle,car,True,flooding,do not know,do not know,heard of somewhere,experienced,know from written records; heard of somewhere,10,8,10,C 
534,2018-03-22 11:07:00,3,1,0,1,2,1,0,senior high school,True,"10,000~20,000",null,null,null,mobile phone,null,null,bycycle,bycycle; motor,False,flooding,do not know,do not know,do not know,heard from intimates,experienced,9,8,8,C 
535,2018-03-22 11:08:00,3,3,1,3,2,0,0,college or higher,True,"＞50,000",null,null,null,mobile phone; network,null,null,bycycle,bycycle; car,True,null,do not know,do not know,do not know,heard of somewhere,heard of somewhere; know from written records,9,9,9,C 
536,2018-03-22 11:09:00,2,2,0,1,1,2,0,college or higher,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,motor; car,True,flooding,do not know,do not know,do not know,heard of somewhere; heard from intimates,know from written records; heard of somewhere; experienced,10,7,9,C 
537,2018-03-22 11:10:00,4,5,0,1,2,2,4,college or higher,True,"20,000~50,000",null,null,null,fixed telephone; mobile phone; network,null,null,null,motor,False,null,do not know,do not know,do not know,do not know,do not know,9,9,9,C
538,2018-03-22 11:12:00,2,2,0,1,1,2,0,college or higher,True,"10,000~20,000",null,null,fixed telephone,mobile phone,null,null,null,bycycle; motor,False,null,do not know,do not know,do not know,do not know,do not know,7,7,7,C 
539,2018-03-22 11:13:00,3,2,1,1,1,2,0,senior high school,True,"＞50,000",null,null,null,mobile phone; network,null,null,bycycle,car,True,null,do not know,do not know,do not know,heard of somewhere,heard of somewhere; know from written records,9,8,8,C 
540,2018-03-22 11:15:00,1,1,0,0,0,0,2,elementary school,True,"＜5,000",null,null,null,mobile phone,null,null,null,null,False,null,do not know,do not know,heard of somewhere,heard from intimates,heard from intimates,10,9,9,C 
541,2018-03-22 11:16:00,1,1,0,0,0,0,2,elementary school,True,"＜5,000",null,null,null,mobile phone,null,null,null,null,False,null,do not know,do not know,heard of somewhere,heard from intimates,heard from intimates,10,10,10,C 
542,2018-03-22 11:18:00,1,1,0,0,0,1,1,junior high school,True,"＜5,000",null,null,null,mobile phone,null,null,null,null,False,null,do not know,do not know,do not know,heard from intimates; heard of somewhere,know from written records; heard of somewhere; heard from intimates,10,8,8,C 
543,2018-03-22 11:19:00,1,1,0,0,0,0,2,junior high school,True,"＜5,000",null,null,null,mobile phone,null,null,null,null,False,flooding,do not know,do not know,heard of somewhere,heard from intimates; experienced,do not know,9,9,9,C 
544,2018-03-22 11:21:00,2,2,0,0,2,0,2,vocational college,True,"20,000~50,000",null,null,null,mobile phone,null,null,bycycle,motor; bycycle,False,flooding,do not know,do not know,heard of somewhere,experienced,experienced; heard from intimates,5,5,5,C 
545,2018-03-22 11:24:00,3,3,2,0,2,2,0,junior high school,True,"10,000~20,000",null,null,null,fixed telephone; mobile phone,null,null,bycycle,bycycle; motor,True,null,do not know,do not know,do not know,heard of somewhere,heard from intimates,7,8,9,D 
546,2018-03-22 11:26:00,2,1,0,0,1,2,0,vocational college,True,"20,000~50,000",null,null,null,mobile phone,null,null,null,bycycle; motor,False,inundation,do not know,do not know,do not know,heard from intimates,do not know,8,7,8,D 
547,2018-03-22 11:27:00,2,2,0,0,2,2,0,junior high school,True,"10,000~20,000",null,null,null,fixed telephone; mobile phone,null,null,bycycle,bycycle; motor,True,flooding,do not know,do not know,heard of somewhere,heard from intimates,experienced,9,8,8,D 
